0,2
1,2
2,
3,2
4,1
5,
6,2
7,2
8,1
9,
10,2
11,2
12,
13,2
14,2
15,1
16,
17,2
18,2
19,
20,2
21,1
22,
23,2
24,1
25,
26,2
27,2
28,1
29,
30,2
31,2
32,
33,2
34,2
35,
36,
25/36
